2017/03/03 14:47:41 version: 20161105
2017/03/03 14:47:41 listening on: [::]:9999
2017/03/03 14:47:41 encryption: aes
2017/03/03 14:47:41 nodelay parameters: 1 20 2 1
2017/03/03 14:47:41 remote address: 106.185.35.79:1980
2017/03/03 14:47:41 sndwnd: 128 rcvwnd: 1024
2017/03/03 14:47:41 compression: true
2017/03/03 14:47:41 mtu: 1350
2017/03/03 14:47:41 datashard: 10 parityshard: 3
2017/03/03 14:47:41 acknodelay: false
2017/03/03 14:47:41 dscp: 0
2017/03/03 14:47:41 sockbuf: 4194304
2017/03/03 14:47:41 keepalive: 10
2017/03/03 14:47:41 conn: 1
2017/03/03 14:47:41 autoexpire: 0
2017/03/03 14:47:51 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:55 stream opened
2017/03/03 14:47:56 stream closed
2017/03/03 14:47:56 stream opened
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream closed
2017/03/03 14:48:12 stream opened
2017/03/03 14:48:17 stream opened
2017/03/03 14:48:28 stream opened
2017/03/03 14:48:56 stream closed
2017/03/03 14:48:57 stream closed
2017/03/03 14:49:17 stream closed
2017/03/03 14:49:29 stream closed
2017/03/03 14:49:32 stream closed
2017/03/03 14:49:32 stream opened
2017/03/03 14:51:51 stream opened
2017/03/03 14:51:58 stream opened
2017/03/03 14:51:59 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream closed
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:00 stream opened
2017/03/03 14:52:01 stream closed
2017/03/03 14:52:01 stream opened
2017/03/03 14:52:03 stream closed
2017/03/03 14:52:03 stream opened
2017/03/03 14:52:03 stream closed
2017/03/03 14:52:03 stream opened
2017/03/03 14:52:07 stream opened
2017/03/03 14:52:07 stream closed
2017/03/03 14:52:07 stream opened
2017/03/03 14:52:07 stream closed
2017/03/03 14:52:08 stream closed
2017/03/03 14:52:08 stream opened
2017/03/03 14:52:08 stream closed
2017/03/03 14:52:08 stream opened
2017/03/03 14:52:08 stream closed
2017/03/03 14:52:08 stream opened
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream opened
2017/03/03 14:52:10 stream closed
2017/03/03 14:52:11 stream opened
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:11 stream opened
2017/03/03 14:52:11 stream opened
2017/03/03 14:52:11 stream closed
2017/03/03 14:52:12 stream closed
2017/03/03 14:52:12 stream closed
2017/03/03 14:52:14 stream opened
2017/03/03 14:52:14 stream opened
2017/03/03 14:52:14 stream opened
2017/03/03 14:52:14 stream opened
2017/03/03 14:52:14 stream opened
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream opened
2017/03/03 14:52:18 stream opened
2017/03/03 14:52:18 stream opened
2017/03/03 14:52:18 stream opened
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:18 stream closed
2017/03/03 14:52:19 stream opened
2017/03/03 14:52:20 stream closed
2017/03/03 14:52:20 stream opened
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream opened
2017/03/03 14:52:22 stream closed
2017/03/03 14:52:23 stream closed
2017/03/03 14:52:23 stream opened
2017/03/03 14:52:28 stream closed
2017/03/03 14:52:34 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream closed
2017/03/03 14:52:38 stream opened
2017/03/03 14:52:52 stream opened
2017/03/03 14:53:00 stream closed
2017/03/03 14:53:00 stream closed
2017/03/03 14:53:17 stream opened
2017/03/03 14:53:18 stream opened
2017/03/03 14:53:18 stream opened
2017/03/03 14:53:19 stream closed
2017/03/03 14:53:19 stream closed
2017/03/03 14:53:19 stream closed
2017/03/03 14:53:19 stream opened
2017/03/03 14:53:20 stream closed
2017/03/03 14:53:23 stream closed
2017/03/03 14:53:25 stream opened
2017/03/03 14:53:25 stream opened
2017/03/03 14:53:28 stream closed
